# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
270 0.323311 0.322893 0.322603 0.968807
271 0.325618 0.325195 0.324906 0.975719
272 0.327931 0.327505 0.327217 0.982654
273 0.330253 0.329823 0.329536 0.989611
274 0.332582 0.332148 0.331863 0.996592
275 0.334918 0.33448 0.334196 1.00359
276 0.337262 0.33682 0.336538 1.01062
277 0.339614 0.339168 0.338887 1.01767
278 0.341973 0.341523 0.341244 1.02474
279 0.34434 0.343886 0.343608 1.03183
280 0.346714 0.346257 0.34598 1.03895
281 0.349096 0.348635 0.348359 1.04609
282 0.351486 0.35102 0.350746 1.05325
283 0.353883 0.353413 0.35314 1.06044
284 0.356287 0.355814 0.355542 1.06764
285 0.358699 0.358222 0.357952 1.07487
286 0.361119 0.360638 0.360369 1.08213
287 0.363546 0.363061 0.362793 1.0894
288 0.365981 0.365492 0.365225 1.0967
289 0.368423 0.36793 0.367665 1.10402
290 0.370872 0.370376 0.370111 1.11136
291 0.37333 0.372829 0.372566 1.11872
292 0.375794 0.37529 0.375028 1.12611
293 0.378266 0.377758 0.377497 1.13352
294 0.380746 0.380234 0.379974 1.14095
295 0.383233 0.382717 0.382458 1.14841
296 0.385727 0.385208 0.38495 1.15588
297 0.388229 0.387706 0.387449 1.16338
298 0.390738 0.390211 0.389955 1.1709
299 0.393255 0.392724 0.392469 1.17845
300 0.395779 0.395244 0.394991 1.18601
301 0.398311 0.397772 0.397519 1.1936
302 0.400849 0.400307 0.400056 1.20121
303 0.403396 0.40285 0.402599 1.20885
304 0.40595 0.4054 0.40515 1.2165
305 0.408511 0.407958 0.407709 1.22418
306 0.411079 0.410522 0.410275 1.23188
307 0.413655 0.413095 0.412848 1.2396
308 0.416238 0.415674 0.415429 1.24734
309 0.418829 0.418261 0.418017 1.25511
310 0.421427 0.420856 0.420612 1.2629
311 0.424033 0.423457 0.423215 1.27071
312 0.426646 0.426066 0.425826 1.27854
313 0.429266 0.428683 0.428443 1.28639
314 0.431894 0.431307 0.431068 1.29427
315 0.434529 0.433938 0.433701 1.30217
316 0.437171 0.436576 0.436341 1.31009
317 0.439821 0.439222 0.438988 1.31803
318 0.442478 0.441875 0.441642 1.326
319 0.445143 0.444536 0.444304 1.33398
