# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
255 0.076986 0.0769643 0.0768703 0.230821
256 0.0773083 0.0772864 0.0771916 0.231786
257 0.0776306 0.0776085 0.0775129 0.232752
258 0.077953 0.0779306 0.0778342 0.233718
259 0.0782755 0.0782528 0.0781555 0.234684
260 0.078598 0.0785751 0.0784768 0.23565
261 0.0789205 0.0788974 0.078798 0.236616
262 0.0792431 0.0792198 0.0791193 0.237582
263 0.0795657 0.0795423 0.0794406 0.238549
264 0.0798883 0.0798648 0.0797619 0.239515
265 0.080211 0.0801874 0.0800833 0.240482
266 0.0805337 0.0805101 0.0804046 0.241448
267 0.0808564 0.0808329 0.080726 0.242415
268 0.0811792 0.0811558 0.0810474 0.243382
269 0.0815019 0.0814788 0.0813689 0.24435
270 0.0818247 0.0818018 0.0816904 0.245317
271 0.0821475 0.082125 0.082012 0.246284
272 0.0824702 0.0824482 0.0823336 0.247252
273 0.082793 0.0827716 0.0826553 0.24822
274 0.0831157 0.083095 0.082977 0.249188
275 0.0834384 0.0834186 0.0832988 0.250156
276 0.0837611 0.0837422 0.0836207 0.251124
277 0.0840838 0.084066 0.0839426 0.252092
278 0.0844064 0.0843898 0.0842646 0.253061
279 0.084729 0.0847138 0.0845867 0.254029
280 0.0850515 0.0850379 0.0849089 0.254998
281 0.085374 0.085362 0.0852311 0.255967
282 0.0856964 0.0856863 0.0855533 0.256936
283 0.0860188 0.0860107 0.0858757 0.257905
284 0.0863411 0.0863352 0.0861981 0.258874
285 0.0866634 0.0866599 0.0865206 0.259844
286 0.0869855 0.0869846 0.0868431 0.260813
287 0.0873076 0.0873095 0.0871657 0.261783
288 0.0876297 0.0876345 0.0874883 0.262752
289 0.0879516 0.0879596 0.087811 0.263722
290 0.0882735 0.0882848 0.0881338 0.264692
291 0.0885953 0.0886101 0.0884566 0.265662
292 0.088917 0.0889356 0.0887794 0.266632
293 0.0892387 0.0892612 0.0891023 0.267602
294 0.0895603 0.0895869 0.0894252 0.268572
295 0.0898818 0.0899128 0.0897481 0.269543
296 0.0902032 0.0902387 0.0900711 0.270513
297 0.0905246 0.0905648 0.0903941 0.271483
298 0.0908458 0.090891 0.0907172 0.272454
299 0.0911671 0.0912173 0.0910403 0.273425
300 0.0914882 0.0915438 0.0913634 0.274395
301 0.0918093 0.0918703 0.0916865 0.275366
302 0.0921303 0.092197 0.0920097 0.276337
303 0.0924513 0.0925238 0.0923329 0.277308
304 0.0927723 0.0928507 0.0926562 0.278279
305 0.0930932 0.0931776 0.0929794 0.27925
306 0.093414 0.0935047 0.0933027 0.280221
307 0.0937349 0.0938319 0.093626 0.281193
308 0.0940557 0.0941592 0.0939493 0.282164
309 0.0943765 0.0944866 0.0942727 0.283136
310 0.0946973 0.094814 0.094596 0.284107
311 0.0950181 0.0951416 0.0949194 0.285079
312 0.0953388 0.0954692 0.0952428 0.286051
313 0.0956597 0.0957969 0.0955663 0.287023
314 0.0959805 0.0961247 0.0958897 0.287995
315 0.0963013 0.0964525 0.0962132 0.288967
316 0.0966222 0.0967804 0.0965367 0.289939
317 0.0969431 0.0971084 0.0968602 0.290912
318 0.097264 0.0974364 0.0971838 0.291884
319 0.097585 0.0977645 0.0975074 0.292857
320 0.0979061 0.0980927 0.0978311 0.29383
321 0.0982271 0.0984209 0.0981548 0.294803
322 0.0985483 0.0987491 0.0984786 0.295776
323 0.0988695 0.0990774 0.0988025 0.296749
324 0.0991907 0.0994058 0.0991264 0.297723
325 0.099512 0.0997341 0.0994505 0.298697
326 0.0998333 0.100063 0.0997746 0.29967
327 0.100155 0.100391 0.100099 0.300644
328 0.100476 0.100719 0.100423 0.301619
329 0.100798 0.101048 0.100747 0.302593
330 0.101119 0.101376 0.101072 0.303567
331 0.101441 0.101705 0.101396 0.304542
332 0.101762 0.102033 0.101721 0.305517
333 0.102084 0.102362 0.102046 0.306491
334 0.102406 0.10269 0.102371 0.307466
335 0.102727 0.103018 0.102696 0.308441
336 0.103049 0.103346 0.103021 0.309416
337 0.103371 0.103675 0.103346 0.310391
338 0.103692 0.104003 0.103671 0.311366
339 0.104014 0.104331 0.103996 0.312341
340 0.104336 0.104659 0.104321 0.313316
341 0.104658 0.104987 0.104647 0.314291
342 0.104979 0.105315 0.104972 0.315266
343 0.105301 0.105643 0.105297 0.316241
344 0.105623 0.10597 0.105623 0.317216
345 0.105945 0.106298 0.105948 0.318191
346 0.106267 0.106625 0.106274 0.319166
347 0.106589 0.106953 0.106599 0.320141
348 0.10691 0.10728 0.106925 0.321115
