# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
172 0.00048486 -0.00362988 -0.0017499 -0.00489492
173 0.000535738 -0.00356181 -0.00167536 -0.00470143
174 0.000574854 -0.00349977 -0.0016124 -0.00453732
175 0.000602837 -0.00344363 -0.00156069 -0.00440149
176 0.000620245 -0.00339331 -0.00151985 -0.00429291
177 0.00062759 -0.00334874 -0.00148943 -0.00421058
178 0.000625343 -0.00330985 -0.00146899 -0.00415349
179 0.000613928 -0.00327658 -0.00145803 -0.00412068
180 0.000593743 -0.00324883 -0.00145605 -0.00411114
181 0.000565182 -0.00322648 -0.00146254 -0.00412384
182 0.00052863 -0.00320935 -0.00147696 -0.00415768
183 0.000484486 -0.00319724 -0.00149878 -0.00421153
184 0.00043316 -0.00318992 -0.00152746 -0.00428422
185 0.000375083 -0.00318715 -0.00156246 -0.00437453
186 0.000310695 -0.00318867 -0.00160326 -0.00448124
187 0.000240442 -0.00319424 -0.00164931 -0.00460311
188 0.000164771 -0.00320361 -0.00170007 -0.0047389
189 8.41013e-05 -0.00321656 -0.00175497 -0.00488743
190 -1.18319e-06 -0.00323291 -0.00181346 -0.00504755
191 -9.07286e-05 -0.00325247 -0.00187494 -0.00521814
192 -0.000184224 -0.00327506 -0.00193882 -0.00539811
193 -0.00028139 -0.00330048 -0.00200447 -0.00558634
194 -0.000381952 -0.00332848 -0.00207121 -0.00578164
195 -0.000485631 -0.00335876 -0.00213833 -0.00598272
196 -0.000592113 -0.00339092 -0.00220509 -0.00618813
197 -0.000701037 -0.00342451 -0.00227072 -0.00639626
198 -0.000811979 -0.00345898 -0.00233443 -0.00660538
199 -0.000924476 -0.00349372 -0.00239542 -0.00681362
200 -0.00103804 -0.00352806 -0.00245293 -0.00701904
201 -0.00115217 -0.00356128 -0.00250622 -0.00721967
202 -0.00126636 -0.00359264 -0.00255457 -0.00741356
203 -0.00138015 -0.00362137 -0.00259733 -0.00759885
204 -0.00149311 -0.00364677 -0.00263389 -0.00777376
205 -0.00160482 -0.00366817 -0.00266373 -0.00793672
206 -0.00171489 -0.00368502 -0.00268639 -0.00808629
207 -0.00182289 -0.00369688 -0.00270148 -0.00822125
208 -0.00192836 -0.00370348 -0.0027087 -0.00834053
