# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
318 0.00460047 0.00466269 0.00695221 0.0162154
319 0.00632889 0.00636633 0.00884268 0.0215379
320 0.00799314 0.00800459 0.0106587 0.0266564
321 0.0095855 0.00956924 0.0123915 0.0315463
322 0.0110988 0.0110527 0.0140331 0.0361846
323 0.0125263 0.0124481 0.0155766 0.0405511
324 0.0138621 0.0137495 0.0170159 0.0446275
325 0.0151007 0.0149516 0.0183458 0.0483981
326 0.0162376 0.0160503 0.0195621 0.0518499
327 0.0172686 0.0170422 0.0206613 0.0549721
328 0.0181908 0.0179251 0.0216406 0.0577565
329 0.0190015 0.0186973 0.0224982 0.060197
330 0.0196993 0.0193582 0.0232326 0.0622901
331 0.0202833 0.0199077 0.0238433 0.0640344
332 0.0207535 0.0203466 0.0243304 0.0654305
333 0.0211104 0.0206762 0.0246945 0.0664811
334 0.0213555 0.0208983 0.0249371 0.067191
335 0.021491 0.0210155 0.0250602 0.0675667
336 0.0215196 0.0210306 0.0250666 0.0676168
337 0.0214448 0.0209471 0.0249595 0.0673513
338 0.0212704 0.0207687 0.0247431 0.0667822
339 0.021001 0.0204999 0.0244217 0.0659226
340 0.0206416 0.0201451 0.0240004 0.0647871
341 0.0201977 0.0197094 0.0234845 0.0633916
342 0.0196751 0.019198 0.0228799 0.061753
343 0.01908 0.0186164 0.0221925 0.0598889
344 0.0184188 0.0179704 0.0214287 0.0578179
345 0.0176982 0.017266 0.020595 0.0555593
346 0.0169253 0.0165092 0.0196983 0.0531328
347 0.0161069 0.0157064 0.0187453 0.0505587
348 0.0152503 0.0148639 0.0177432 0.0478574
349 0.0143626 0.0139882 0.0166989 0.0450497
350 0.0134511 0.0130855 0.0156198 0.0421565
351 0.0125229 0.0121625 0.0145131 0.0391984
352 0.0115851 0.0112253 0.013386 0.0361963
353 0.0106445 0.0102802 0.0122457 0.0331704
354 0.00970807 0.00933319 0.0110995 0.0301408
355 0.00878222 0.00839019 0.00995436 0.0271268
356 0.00787323 0.00745678 0.00881709 0.0241471
357 0.00698699 0.00653826 0.00769432 0.0212196
358 0.00612899 0.00563963 0.00659235 0.018361
359 0.00530421 0.00476553 0.00551719 0.0155869
360 0.00451708 0.00392025 0.00447446 0.0129118
361 0.00377143 0.00310771 0.00346944 0.0103486
362 0.00307045 0.00233152 0.002507 0.00790897
363 0.00241666 0.00159498 0.00159166 0.0056033
364 0.00181199 0.000901058 0.00072749 0.00344053
365 0.00125774 0.000252439 -8.18422e-05 0.00142834
366 0.00075472 -0.000348492 -0.00083311 -0.000426881
367 0.000303278 -0.000899648 -0.00152353 -0.0021199
368 -9.65963e-05 -0.00139925 -0.00215081 -0.00364665
369 -0.000445222 -0.00184582 -0.00271312 -0.00500416
370 -0.000743175 -0.00223822 -0.00320915 -0.00619054
371 -0.000991245 -0.00257567 -0.00363805 -0.00720496
372 -0.00119042 -0.00285773 -0.00399946 -0.00804761
373 -0.00134188 -0.00308431 -0.00429349 -0.00871968
374 -0.00144701 -0.00325566 -0.00452067 -0.00922334
375 -0.0015074 -0.00337239 -0.00468194 -0.00956173
376 -0.00152482 -0.0034354 -0.00477865 -0.00973887
377 -0.00150128 -0.00344586 -0.00481247 -0.00975962
378 -0.00143898 -0.00340522 -0.00478546 -0.00962965
379 -0.00134029 -0.00331514 -0.0047 -0.00935542
380 -0.00120778 -0.00317755 -0.00455882 -0.00894415
381 -0.00104421 -0.0029946 -0.00436498 -0.00840379
382 -0.000852515 -0.00276872 -0.00412185 -0.00774309
383 -0.000635824 -0.0025026 -0.00383312 -0.00697154
384 -0.00039745 -0.00219921 -0.00350271 -0.00609937
385 -0.000140898 -0.00186179 -0.00313479 -0.00513748
386 0.000130134 -0.00149389 -0.00273373 -0.00409749
387 0.000411756 -0.00109933 -0.00230405 -0.00299162
388 0.00069992 -0.000682184 -0.00185038 -0.00183264
389 0.000990458 -0.000246803 -0.00137741 -0.000633751
390 0.00127913 0.00020224 -0.000889887 0.000591486
391 0.0015617 0.000660161 -0.00039257 0.00182929
392 0.00183401 0.00112201 0.000109814 0.00306583
393 0.00209209 0.0015827 0.000612565 0.00428736
394 0.00233226 0.00203712 0.00111101 0.00548039
395 0.00255121 0.00248014 0.00160052 0.00663187
396 0.00274605 0.00290677 0.00207649 0.00772931
397 0.00291434 0.00331216 0.00253434 0.00876084
398 0.00305411 0.00369171 0.00296952 0.00971533
399 0.00316377 0.00404106 0.00337751 0.0105823
400 0.00324214 0.00435622 0.00375384 0.0113522
401 0.00328835 0.00463352 0.00409415 0.012016
