# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
447 0.00678115 0.00677526 0.00684312 0.0203995
448 0.00678128 0.00677551 0.00684294 0.0203997
449 0.00678128 0.00677565 0.00684263 0.0203996
450 0.00678116 0.00677566 0.00684218 0.020399
451 0.00678091 0.00677556 0.00684161 0.0203981
452 0.00678053 0.00677533 0.0068409 0.0203968
453 0.00678002 0.00677498 0.00684007 0.0203951
454 0.00677938 0.00677451 0.00683912 0.020393
455 0.00677862 0.00677392 0.00683805 0.0203906
456 0.00677772 0.00677321 0.00683686 0.0203878
457 0.0067767 0.00677238 0.00683555 0.0203846
458 0.00677556 0.00677144 0.00683414 0.0203811
459 0.00677431 0.00677039 0.00683263 0.0203773
460 0.00677294 0.00676923 0.00683103 0.0203732
461 0.00677146 0.00676797 0.00682933 0.0203688
462 0.00676988 0.0067666 0.00682756 0.020364
463 0.0067682 0.00676514 0.0068257 0.020359
464 0.00676643 0.00676359 0.00682378 0.0203538
465 0.00676457 0.00676194 0.0068218 0.0203483
466 0.00676262 0.0067602 0.00681975 0.0203426
467 0.0067606 0.00675839 0.00681766 0.0203366
468 0.0067585 0.00675649 0.00681551 0.0203305
469 0.00675633 0.00675451 0.00681331 0.0203241
470 0.00675408 0.00675246 0.00681106 0.0203176
471 0.00675177 0.00675033 0.00680877 0.0203109
472 0.0067494 0.00674814 0.00680644 0.020304
473 0.00674696 0.00674589 0.00680406 0.0202969
474 0.00674447 0.00674357 0.00680165 0.0202897
475 0.00674193 0.0067412 0.0067992 0.0202823
476 0.00673933 0.00673878 0.00679671 0.0202748
477 0.0067367 0.00673631 0.00679419 0.0202672
478 0.00673404 0.0067338 0.00679164 0.0202595
479 0.00673134 0.00673126 0.00678907 0.0202517
480 0.00672863 0.00672869 0.00678647 0.0202438
481 0.00672592 0.00672609 0.00678386 0.0202359
482 0.0067232 0.00672349 0.00678125 0.0202279
483 0.0067205 0.00672088 0.00677863 0.02022
484 0.00671783 0.00671827 0.00677601 0.0202121
485 0.00671519 0.00671568 0.00677341 0.0202043
486 0.00671261 0.00671311 0.00677083 0.0201965
487 0.00671008 0.00671057 0.00676828 0.0201889
488 0.00670763 0.00670807 0.00676576 0.0201815
489 0.00670527 0.00670563 0.00676328 0.0201742
490 0.006703 0.00670325 0.00676085 0.0201671
491 0.00670084 0.00670094 0.00675847 0.0201603
492 0.0066988 0.00669871 0.00675616 0.0201537
493 0.00669687 0.00669656 0.00675391 0.0201473
494 0.00669508 0.0066945 0.00675175 0.0201413
495 0.00669342 0.00669255 0.00674967 0.0201356
496 0.0066919 0.00669069 0.00674768 0.0201303
497 0.00669052 0.00668894 0.0067458 0.0201253
498 0.00668928 0.0066873 0.00674402 0.0201206
499 0.00668818 0.00668576 0.00674235 0.0201163
500 0.00668723 0.00668433 0.0067408 0.0201124
501 0.00668641 0.00668302 0.00673937 0.0201088
502 0.00668573 0.0066818 0.00673807 0.0201056
503 0.00668517 0.0066807 0.00673689 0.0201028
504 0.00668475 0.00667969 0.00673584 0.0201003
505 0.00668444 0.00667879 0.00673492 0.0200981
506 0.00668424 0.00667799 0.00673413 0.0200964
507 0.00668416 0.00667728 0.00673346 0.0200949
508 0.00668418 0.00667668 0.00673292 0.0200938
509 0.00668429 0.00667617 0.0067325 0.020093
510 0.0066845 0.00667576 0.00673219 0.0200925
511 0.0066848 0.00667545 0.00673201 0.0200923
512 0.00668519 0.00667523 0.00673194 0.0200924
513 0.00668566 0.00667512 0.00673198 0.0200928
514 0.0066862 0.00667511 0.00673213 0.0200934
515 0.00668682 0.0066752 0.00673239 0.0200944
516 0.0066875 0.0066754 0.00673275 0.0200957
517 0.00668826 0.0066757 0.00673321 0.0200972
518 0.00668908 0.00667611 0.00673377 0.020099
519 0.00668995 0.00667661 0.00673443 0.020101
520 0.00669088 0.00667722 0.00673517 0.0201033
521 0.00669186 0.00667793 0.00673601 0.0201058
522 0.00669289 0.00667873 0.00673693 0.0201086
523 0.00669396 0.00667962 0.00673793 0.0201115
524 0.00669507 0.0066806 0.00673902 0.0201147
525 0.00669621 0.00668166 0.00674018 0.020118
526 0.00669738 0.00668278 0.00674142 0.0201216
527 0.00669857 0.00668397 0.00674273 0.0201253
528 0.00669978 0.00668521 0.00674412 0.0201291
529 0.006701 0.0066865 0.00674558 0.0201331
530 0.00670223 0.00668783 0.00674711 0.0201372
531 0.00670346 0.00668919 0.00674872 0.0201414
532 0.0067047 0.00669057 0.00675039 0.0201457
533 0.00670592 0.00669196 0.00675212 0.02015
