# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
472 0.819961 0.819127 0.819615 2.4587
473 0.819351 0.818512 0.819001 2.45686
474 0.818742 0.817896 0.818386 2.45502
475 0.818133 0.81728 0.817771 2.45318
476 0.817525 0.816663 0.817156 2.45134
477 0.816917 0.816046 0.816542 2.4495
478 0.816309 0.815429 0.815928 2.44767
479 0.815701 0.814811 0.815314 2.44583
480 0.815094 0.814193 0.8147 2.44399
481 0.814487 0.813575 0.814088 2.44215
482 0.813881 0.812956 0.813475 2.44031
483 0.813275 0.812337 0.812863 2.43848
484 0.81267 0.811718 0.812252 2.43664
485 0.812065 0.811098 0.811642 2.4348
486 0.81146 0.810479 0.811031 2.43297
487 0.810856 0.809859 0.810422 2.43114
488 0.810253 0.809239 0.809812 2.4293
489 0.809649 0.808619 0.809203 2.42747
490 0.809046 0.807999 0.808594 2.42564
491 0.808442 0.807379 0.807985 2.42381
492 0.807839 0.806759 0.807376 2.42197
493 0.807236 0.80614 0.806767 2.42014
494 0.806632 0.805521 0.806158 2.41831
495 0.806028 0.804902 0.805549 2.41648
496 0.805424 0.804285 0.80494 2.41465
497 0.804819 0.803667 0.804331 2.41282
498 0.804214 0.803051 0.803723 2.41099
499 0.803609 0.802436 0.803114 2.40916
500 0.803003 0.801821 0.802506 2.40733
501 0.802396 0.801207 0.801898 2.4055
502 0.80179 0.800594 0.80129 2.40367
503 0.801183 0.799982 0.800682 2.40185
504 0.800576 0.79937 0.800074 2.40002
505 0.79997 0.798758 0.799467 2.39819
506 0.799364 0.798146 0.79886 2.39637
507 0.798759 0.797535 0.798253 2.39455
508 0.798154 0.796924 0.797647 2.39272
509 0.797551 0.796313 0.797041 2.3909
510 0.796948 0.795701 0.796435 2.38908
511 0.796347 0.79509 0.79583 2.38727
512 0.795747 0.794478 0.795226 2.38545
513 0.795148 0.793866 0.794623 2.38364
514 0.79455 0.793255 0.79402 2.38182
515 0.793953 0.792643 0.793418 2.38001
516 0.793358 0.792032 0.792818 2.37821
517 0.792764 0.791421 0.792218 2.3764
518 0.792171 0.790811 0.79162 2.3746
519 0.791579 0.790202 0.791022 2.3728
520 0.790988 0.789593 0.790426 2.37101
521 0.790398 0.788986 0.789831 2.36921
522 0.789809 0.78838 0.789237 2.36743
523 0.78922 0.787775 0.788644 2.36564
524 0.788632 0.787172 0.788051 2.36386
525 0.788044 0.786571 0.78746 2.36208
526 0.787457 0.785971 0.78687 2.3603
527 0.78687 0.785374 0.78628 2.35852
